time,lat,long,id
30-04 21:51,+2734.3968,+07809.9497,1
30-04 21:51,+2734.5063,+07809.9630,1
30-04 21:51,+2734.6988,+07811.0806,1
30-04 21:51,+2734.7272,+07811.1437,1
30-04 21:51,+2734.7272,+07811.1437,1
30-04 21:51,+2734.7079,+07811.4020,1
30-04 21:51,+2734.7095,+07811.4704,1
30-04 21:51,+2734.7457,+07811.6277,1
30-04 21:51,+2734.7960,+07811.8462,1
30-04 21:51,+2734.8706,+07811.9339,1
30-04 21:51,+2734.0607,+07814.4298,1
30-04 21:51,+2734.0587,+07814.4359,1
30-04 21:51,+2733.956,+07814.3167,1
30-04 21:51,+2733.8948,+07814.3751,1
30-04 21:51,+2734.8663,+07814.604,2
30-04 21:51,+2734.0587,+07814.4359,2
30-04 21:51,+2733.956,+07814.3167,2
